Audit Log Report - Effective Date[08/24/2026]
"Report generated on - Aug 24, 2026 10:57:19 AM"
Report generated by - Tanishq Gupta

Id,Operation,Activity,Level,Level Details,Date,User,Description,Field,Old Setting,New Setting,Effective From,Package generated or not
441269627,Users,Update,Market,US Country Office," Aug 24, 2026 5:02:34 AM ",er923616 - Deepak Babhalsare,User e7409519 has been updated.,Hierarchy Assignment,"35166 - FRAYSER RELO, 22859 - COLLIERVILLE, 10676 - CORDOVA - GRMNTWN PKWY, 1083 - MEMPHIS TN 5263 POPLAR DR, 15662 - MEMPHIS, TN- 3845 E. SHELBY DR, 11131 - MEMPHIS-E SHELBY, 31693 - CORDOVA TN 1206 HOUSTON LEVEE, 2776 - MEMPHIS SUMMER","35166 - FRAYSER RELO, MEMPHIS-ELMORE, 22859 - COLLIERVILLE, 10676 - CORDOVA - GRMNTWN PKWY, 1083 - MEMPHIS TN 5263 POPLAR DR, 15662 - MEMPHIS, TN- 3845 E. SHELBY DR, 11131 - MEMPHIS-E SHELBY, 31693 - CORDOVA TN 1206 HOUSTON LEVEE, 2776 - MEMPHIS SUMMER",,N/A
441270240,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:15:48 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(1-Mandarin),Limited Time: FIFA World Cup™ Meal,,"Aug 24, 2026",N/A
441270240,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:15:48 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(1-French),Limited Time: FIFA World Cup™ Meal,,"Aug 24, 2026",N/A
441270240,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:15:48 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(1-Deutsch),Limited Time: FIFA World Cup™ Meal,,"Aug 24, 2026",N/A
441270240,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:15:48 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(1-English),Limited Time: FIFA World Cup™ Meal,,"Aug 24, 2026",N/A
441270240,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:15:48 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(1-Cantonese),Limited Time: FIFA World Cup™ Meal,,"Aug 24, 2026",N/A
441270240,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:15:48 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(1-SpanishUS),Limited Time: FIFA World Cup™ Meal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(15-Deutsch),Kiosk_202605_25702_Q2JUNEBR_SausageMcMuffinEggMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(15-Mandarin),FIFA World Cup™ Meal - Sausage McMuffin® with Egg,new btn,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(19-English),FIFA World Cup™ Meal - Sausage Egg Biscuit,new btn,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(19-SpanishUS),FIFA World Cup™ Sausage Egg Biscuit Meal​,new btn,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(19-SpanishUS),Kiosk_202605_25703_Q2JUNEBR_SausageEggBiscuitMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(19-Mandarin),Kiosk_202605_25703_Q2JUNEBR_SausageEggBiscuitMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(15-SpanishUS),FIFA World Cup™ Sausage Egg McMuffin  Meal​,new btn,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(19-Deutsch),Kiosk_202605_25703_Q2JUNEBR_SausageEggBiscuitMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(19-Cantonese),Kiosk_202605_25703_Q2JUNEBR_SausageEggBiscuitMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(15-Deutsch),FIFA World Cup™ Meal - Sausage McMuffin® with Egg,new btn,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(15-French),FIFA World Cup™ Meal - Sausage McMuffin® with Egg,new btn,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(19-Deutsch),FIFA World Cup™ Meal - Sausage Egg Biscuit,new btn,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(15-English),FIFA World Cup™ Meal - Sausage McMuffin® with Egg,new btn,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(15-Cantonese),Kiosk_202605_25702_Q2JUNEBR_SausageMcMuffinEggMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Width(19),2,1,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(15-French),Kiosk_202605_25702_Q2JUNEBR_SausageMcMuffinEggMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(15-Mandarin),Kiosk_202605_25702_Q2JUNEBR_SausageMcMuffinEggMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(19-French),FIFA World Cup™ Meal - Sausage Egg Biscuit,new btn,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Menu Item Number(15),25702,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Button(15)(Button(15)),Enable,Disable,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Menu Item Number(19),25703,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Button(19)(Button(19)),Enable,Disable,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(15-Cantonese),FIFA World Cup™ Meal - Sausage McMuffin® with Egg,new btn,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(15-SpanishUS),Kiosk_202605_25702_Q2JUNEBR_SausageMcMuffinEggMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(19-Mandarin),FIFA World Cup™ Meal - Sausage Egg Biscuit,new btn,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(19-English),Kiosk_202605_25703_Q2JUNEBR_SausageEggBiscuitMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Width(15),2,1,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(19-French),Kiosk_202605_25703_Q2JUNEBR_SausageEggBiscuitMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(15-English),Kiosk_202605_25702_Q2JUNEBR_SausageMcMuffinEggMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(19-Cantonese),FIFA World Cup™ Meal - Sausage Egg Biscuit,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(79-Mandarin),FIFA World Cup™ $9 Meal Deal  - McDouble ,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(51-English),Kiosk_202606_25878_EVM_M_2RanchSnackWrap,,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(51-Mandarin),FIFA World Cup™ Meal - 2 Ranch Snack Wrap ,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(51-Cantonese),Kiosk_202606_25878_EVM_M_2RanchSnackWrap,,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(55-English),FIFA World Cup™ Meal - Mix & Match Snack Wrap ,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(55-French),FIFA World Cup™ Meal - Mix & Match Snack Wrap ,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(49-SpanishUS),FIFA World Cup™ Meal - 2 Cheeseburger,new btn,"Aug 24, 2026",N/A
