Audit Log Report - Effective Date[09/07/2026]
"Report generated on - Sep 7, 2026 10:44:32 AM"
Report generated by - Kiran Yadav

Id,Operation,Activity,Level,Level Details,Date,User,Description,Field,Old Setting,New Setting,Effective From,Package generated or not
443431121,Mass Status Update,Update,Store,"44126,Winder"," Sep 7, 2026 2:55:32 AM ",eu435423 - Prince Pritam,Status for menu item 6651 at restaurant 44126 - Winder has been updated.,Change Status On(6651 - Classic Big Mac Pack ),Inactive,Active,"Sep 7, 2026",N
443431122,Mass Status Update,Update,Store,"44126,Winder"," Sep 7, 2026 2:55:32 AM ",eu435423 - Prince Pritam,Status for menu item 2842 at restaurant 44126 - Winder has been updated.,Change Status On(2842 - Medium Caramel Frappe),Inactive,Active,"Sep 7, 2026",N
443431123,Mass Status Update,Update,Store,"44126,Winder"," Sep 7, 2026 2:55:32 AM ",eu435423 - Prince Pritam,Status for menu item 7567 at restaurant 44126 - Winder has been updated.,Change Status On(7567 - Small Iced Latte),Inactive,Active,"Sep 7, 2026",N
443431124,Mass Status Update,Update,Store,"44126,Winder"," Sep 7, 2026 2:55:32 AM ",eu435423 - Prince Pritam,Status for menu item 2827 at restaurant 44126 - Winder has been updated.,Change Status On(2827 - Small Caramel Macchiato),Inactive,Active,"Sep 7, 2026",N
443431125,Mass Status Update,Update,Store,"44126,Winder"," Sep 7, 2026 2:55:32 AM ",eu435423 - Prince Pritam,Status for menu item 99956 at restaurant 44126 - Winder has been updated.,Change Status On(99956 - TAG 56),Inactive,Active,"Sep 7, 2026",N
443431126,Mass Status Update,Update,Store,"44126,Winder"," Sep 7, 2026 2:55:32 AM ",eu435423 - Prince Pritam,Status for menu item 6930 at restaurant 44126 - Winder has been updated.,Change Status On(6930 - BACON MCDOUBLE),Inactive,Active,"Sep 7, 2026",N
443431127,Mass Status Update,Update,Store,"44126,Winder"," Sep 7, 2026 2:55:32 AM ",eu435423 - Prince Pritam,Status for menu item 99953 at restaurant 44126 - Winder has been updated.,Change Status On(99953 - TAG 53),Inactive,Active,"Sep 7, 2026",N
443431128,Mass Status Update,Update,Store,"44126,Winder"," Sep 7, 2026 2:55:32 AM ",eu435423 - Prince Pritam,Status for menu item 99958 at restaurant 44126 - Winder has been updated.,Change Status On(99958 - TAG 58),Inactive,Active,"Sep 7, 2026",N
443431129,Mass Status Update,Update,Store,"44126,Winder"," Sep 7, 2026 2:55:32 AM ",eu435423 - Prince Pritam,Status for menu item 6649 at restaurant 44126 - Winder has been updated.,Change Status On(6649 - BIG MAC BUN),Inactive,Active,"Sep 7, 2026",N
443431130,Mass Status Update,Update,Store,"44126,Winder"," Sep 7, 2026 2:55:32 AM ",eu435423 - Prince Pritam,Status for menu item 99955 at restaurant 44126 - Winder has been updated.,Change Status On(99955 - TAG 55),Inactive,Active,"Sep 7, 2026",N
