Audit Log Report - Effective Date[08/17/2026]
"Report generated on - Aug 17, 2026 6:03:58 AM"
Report generated by - Kiran Yadav

Id,Operation,Activity,Level,Level Details,Date,User,Description,Field,Old Setting,New Setting,Effective From,Package generated or not
440306865,Master Menu Item List,Update,Market,US Country Office," Aug 17, 2026 3:44:31 AM ",eq449200 - Kiran Yadav,Current Setting for Menu Item 25638 has been updated.,DT Name(English Default),Happy Meal Ty7,Gdzll x Hll Ktt,"Aug 17, 2026",N/A
440306865,Master Menu Item List,Update,Market,US Country Office," Aug 17, 2026 3:44:31 AM ",eq449200 - Kiran Yadav,Current Setting for Menu Item 25638 has been updated.,CSO Generic Name(English Default),Happy Meal Toy 7,Godzilla x Hello Kitty Toy,"Aug 17, 2026",N/A
440306865,Master Menu Item List,Update,Market,US Country Office," Aug 17, 2026 3:44:31 AM ",eq449200 - Kiran Yadav,Current Setting for Menu Item 25638 has been updated.,CSO Name(English Default),Happy Meal Toy 7,Godzilla x Hello Kitty Toy,"Aug 17, 2026",N/A
440306865,Master Menu Item List,Update,Market,US Country Office," Aug 17, 2026 3:44:31 AM ",eq449200 - Kiran Yadav,Current Setting for Menu Item 25638 has been updated.,Name,Happy Meal Toy 7,Godzilla x Hello Kitty Toy,"Aug 17, 2026",N/A
440306865,Master Menu Item List,Update,Market,US Country Office," Aug 17, 2026 3:44:31 AM ",eq449200 - Kiran Yadav,Current Setting for Menu Item 25638 has been updated.,Short Name(English Default),HMToy7,GxHKTd,"Aug 17, 2026",N/A
440306865,Master Menu Item List,Update,Market,US Country Office," Aug 17, 2026 3:44:31 AM ",eq449200 - Kiran Yadav,Current Setting for Menu Item 25638 has been updated.,Long Name(English Default),Happy Meal Toy 7,Godzll x Hll Ktty Ty,"Aug 17, 2026",N/A
440306981,Master Menu Item List,Update,Market,US Country Office," Aug 17, 2026 3:48:39 AM ",eq449200 - Kiran Yadav,Current Setting for Menu Item 25638 has been updated.,Long Name(Cantonese Default),Happy Meal Toy 7,Godzll x Hll Ktty Ty,"Aug 17, 2026",N/A
440306981,Master Menu Item List,Update,Market,US Country Office," Aug 17, 2026 3:48:39 AM ",eq449200 - Kiran Yadav,Current Setting for Menu Item 25638 has been updated.,Short Name(Cantonese Default),HMToy7,GxHKTd,"Aug 17, 2026",N/A
440306981,Master Menu Item List,Update,Market,US Country Office," Aug 17, 2026 3:48:39 AM ",eq449200 - Kiran Yadav,Current Setting for Menu Item 25638 has been updated.,DT Name(Cantonese Default),Happy Meal Ty7,Gdzll x Hll Ktt,"Aug 17, 2026",N/A
440306981,Master Menu Item List,Update,Market,US Country Office," Aug 17, 2026 3:48:39 AM ",eq449200 - Kiran Yadav,Current Setting for Menu Item 25638 has been updated.,DT Name(SpanishUS Default),Happy Meal Ty7,Gdzll x Hll Ktt,"Aug 17, 2026",N/A
